"","IDHH","STATEID","URBAN2011","educ_cat","income_quintile","GROUPS","CI7","CI8","WT","WTn"
"556","2116040401","(21) Orissa 21","(0) rural 0","College+","Q3","(3) Other Backward Castes (OBC) 3","(3) Hardly any confidence at all","(1) A great deal of confidence",21563.49498171,3.52417426391034
"557","2103020211","(21) Orissa 21","(0) rural 0","Secondary","Q3","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",4549.48456815,0.743533292851215
"558","2404060501","(24) Gujarat 24","(0) rural 0","Primary","Q4","(1) Brahmin 1","(1) A great deal of confidence","(1) A great deal of confidence",4689.12254872,0.766354666557407
"559","0929020901","(09) Uttar Pradesh 09","(0) rural 0","Higher secondary","Q1 (Poorest)","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",4472.53093328,0.730956573736191
"560","3208010901","(32) Kerala 32","(0) rural 0","College+","Q1 (Poorest)","(7) Christian, Sikh, Jain 7","(2) Only some confidence","(2) Only some confidence",18969.19010242,3.1001807277936
"561","0202100401","(02) Himachal Pradesh 02","(1) urban 1","College+","Q5 (Richest)","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",545.59105431,0.089167268749796
"562","0113010701","(01) Jammu & Kashmir 01","(0) rural 0","Middle","Q2","(5) Adivasi 5","(1) A great deal of confidence","(1) A great deal of confidence",5347.85169633,0.874012368189903
"563","3317011611","(33) Tamil Nadu 33","(0) rural 0","Middle","Q5 (Richest)","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",43416.05889588,7.09559176427821
"564","2106060301","(21) Orissa 21","(0) rural 0","No education","Q3","(5) Adivasi 5","(1) A great deal of confidence","(1) A great deal of confidence",1712.27234404,0.279840820460203
"565","3306030301","(33) Tamil Nadu 33","(1) urban 1","Secondary","Q5 (Richest)","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",8239.85586393,1.34665962074438
"566","2920191309","(29) Karnataka 29","(1) urban 1","Secondary","Q4","(4) Dalit 4","(1) A great deal of confidence","(2) Only some confidence",4741.77914111,0.774960461113599
"567","2401030811","(24) Gujarat 24","(0) rural 0","No education","Q5 (Richest)","(6) Muslim 6","(1) A great deal of confidence","(2) Only some confidence",8672.10152124,1.41730257646519
"568","2101051111","(21) Orissa 21","(0) rural 0","Higher secondary","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",3460.85797502,0.565616409443806
"569","0210100301","(02) Himachal Pradesh 02","(1) urban 1","College+","Q5 (Richest)","(4) Dalit 4","(1) A great deal of confidence","(2) Only some confidence",545.59105431,0.089167268749796
"570","3315090711","(33) Tamil Nadu 33","(0) rural 0","Primary","Q4","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",3951.70445371,0.645836639475976
"571","2117010711","(21) Orissa 21","(0) rural 0","No education","Q3","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",36657.94,5.99109600858055
"572","0947031101","(09) Uttar Pradesh 09","(0) rural 0","Middle","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",15749.27373759,2.57394198984771
"573","0959020901","(09) Uttar Pradesh 09","(0) rural 0","College+","Q4","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",8641.90936039,1.41236819841888
"574","0310020702","(03) Punjab 03","(1) urban 1","Middle","Q3","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",3916.37868853,0.640063264027985
