"","IDHH","STATEID","URBAN2011","educ_cat","income_quintile","GROUPS","CI7","CI8","WT","WTn"
"1","1917140201","(19) West Bengal 19","(1) urban 1","Higher secondary","Q4","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(2) Only some confidence",5775.85751979,0.943962397585457
"2","2215040511","(22) Chhattisgarh 22","(0) rural 0","Primary","Q1 (Poorest)","(5) Adivasi 5","(1) A great deal of confidence","(1) A great deal of confidence",5476.70910202,0.895071846406776
"3","0968040321","(09) Uttar Pradesh 09","(0) rural 0","College+","Q5 (Richest)","(1) Brahmin 1","(1) A great deal of confidence","(1) A great deal of confidence",7495.55700953,1.22501705447396
"4","3214070301","(32) Kerala 32","(0) rural 0","College+","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(2) Only some confidence",4539.58671923,0.74191566340564
"5","2713020111","(27) Maharashtra 27","(0) rural 0","Secondary","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(3) Hardly any confidence at all","(1) A great deal of confidence",9466.59384348,1.54714838287493
"6","0904021811","(09) Uttar Pradesh 09","(0) rural 0","Primary","Q2","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",1068.07158565,0.174557528700904
"7","2316020311","(23) Madhya Pradesh 23","(0) rural 0","No education","Q2","(5) Adivasi 5","(1) A great deal of confidence","(2) Only some confidence",4765.81698866,0.778889024816624
"8","0617021411","(06) Haryana 06","(1) urban 1","College+","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(2) Only some confidence",4407.66666667,0.72035564938565
"9","0808040111","(08) Rajasthan 08","(0) rural 0","No education","Q4","(2) Forward caste 2","(1) A great deal of confidence","(2) Only some confidence",2320.63691958,0.379267317974234
"10","2338011201","(23) Madhya Pradesh 23","(1) urban 1","No education","Q1 (Poorest)","(5) Adivasi 5","(3) Hardly any confidence at all","(1) A great deal of confidence",5765.10772579,0.942205532689981
"11","0919031301","(09) Uttar Pradesh 09","(1) urban 1","College+","Q3","(1) Brahmin 1","(3) Hardly any confidence at all","(2) Only some confidence",6466.85824346,1.05689432113341
"12","1032130221","(10) Bihar 10","(0) rural 0","Secondary","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(2) Only some confidence",27099.11785715,4.4288745311391
"13","0305030511","(03) Punjab 03","(0) rural 0","Higher secondary","Q3","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",2572.67494824,0.420458504045122
"14","0509010711","(05) Uttarakhand 05","(0) rural 0","Secondary","Q3","(1) Brahmin 1","(1) A great deal of confidence","(1) A great deal of confidence",12533.89506173,2.04844485741147
"15","0904021612","(09) Uttar Pradesh 09","(0) rural 0","No education","Q4","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",1068.07158565,0.174557528700904
"16","2803051501","(28) Andhra Pradesh 28","(0) rural 0","No education","Q4","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",21267.82995505,3.47585301178599
"17","2707051721","(27) Maharashtra 27","(0) rural 0","College+","Q3","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",7956.70079366,1.30038290112227
"18","2720031211","(27) Maharashtra 27","(0) rural 0","Primary","Q2","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",6266.43028171,1.0241378934223
"19","3303011501","(33) Tamil Nadu 33","(1) urban 1","Primary","Q4","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",8239.85586393,1.34665962074438
"20","2407220901","(24) Gujarat 24","(1) urban 1","Secondary","Q4","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(2) Only some confidence",6938.99873258,1.13405738593891
"21","0924030401","(09) Uttar Pradesh 09","(0) rural 0","College+","Q2","(2) Forward caste 2","(3) Hardly any confidence at all","(1) A great deal of confidence",13046.86740617,2.13228117132563
"22","0304040501","(03) Punjab 03","(1) urban 1","College+","Q4","(4) Dalit 4","(2) Only some confidence","(1) A great deal of confidence",3916.37868853,0.640063264027985
"23","2905361311","(29) Karnataka 29","(0) rural 0","Higher secondary","Q4","(5) Adivasi 5","(1) A great deal of confidence","(1) A great deal of confidence",709.16265817,0.115900172535518
"24","2419011411","(24) Gujarat 24","(0) rural 0","Higher secondary","Q3","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",6385.12445888,1.04353637056218
"25","2731022111","(27) Maharashtra 27","(0) rural 0","College+","Q1 (Poorest)","(2) Forward caste 2","(1) A great deal of confidence","(2) Only some confidence",5594.55524554,0.914331727351239
"26","0309090901","(03) Punjab 03","(1) urban 1","Higher secondary","Q3","(2) Forward caste 2","(2) Only some confidence","(1) A great deal of confidence",3916.37868853,0.640063264027985
"27","1817062001","(18) Assam 18","(0) rural 0","Secondary","Q2","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(3) Hardly any confidence at all",2880.53611148,0.470773000339353
"28","2801081201","(28) Andhra Pradesh 28","(0) rural 0","Middle","Q1 (Poorest)","(4) Dalit 4","(1) A great deal of confidence","(2) Only some confidence",4613.66347635,0.754022207415211
"29","2918120201","(29) Karnataka 29","(1) urban 1","Higher secondary","Q5 (Richest)","(6) Muslim 6","(2) Only some confidence","(1) A great deal of confidence",4741.77914111,0.774960461113599
"30","0949070501","(09) Uttar Pradesh 09","(0) rural 0","Secondary","Q3","(4) Dalit 4","(2) Only some confidence","(1) A great deal of confidence",9994.07547825,1.6333559852844
"31","2709020201","(27) Maharashtra 27","(1) urban 1","Middle","Q3","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",9592.3,1.56769284479999
"32","0923071601","(09) Uttar Pradesh 09","(0) rural 0","Higher secondary","Q2","(2) Forward caste 2","(3) Hardly any confidence at all","(1) A great deal of confidence",4838.75237271,0.790809031458193
"33","1104010601","(11) Sikkim 11","(1) urban 1","Middle","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",430.3373494,0.0703310763325346
"34","2312060602","(23) Madhya Pradesh 23","(0) rural 0","No education","Q2","(5) Adivasi 5","(2) Only some confidence","(2) Only some confidence",3287.44875825,0.537275720729661
"35","2419121402","(24) Gujarat 24","(1) urban 1","Secondary","Q5 (Richest)","(2) Forward caste 2","(2) Only some confidence","(2) Only some confidence",6938.99873258,1.13405738593891
"36","0606010111","(06) Haryana 06","(0) rural 0","No education","Q3","(4) Dalit 4","(1) A great deal of confidence","(2) Only some confidence",5563.92287284,0.909325404415026
"37","1906031411","(19) West Bengal 19","(0) rural 0","No education","Q2","(6) Muslim 6","(2) Only some confidence","(1) A great deal of confidence",4759.28403744,0.777821328760097
"38","2126010901","(21) Orissa 21","(1) urban 1","No education","Q4","(4) Dalit 4","(2) Only some confidence","(2) Only some confidence",2809.13430127,0.459103629388487
"39","0808050412","(08) Rajasthan 08","(0) rural 0","Middle","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",5085.65111262,0.831160291108854
"40","0204030311","(02) Himachal Pradesh 02","(0) rural 0","Middle","Q4","(4) Dalit 4","(2) Only some confidence","(3) Hardly any confidence at all",1937.64841906,0.316674578807832
"41","1916030101","(19) West Bengal 19","(1) urban 1","Secondary","Q5 (Richest)","(4) Dalit 4","(1) A great deal of confidence","(2) Only some confidence",5775.85751979,0.943962397585457
"42","0211020511","(02) Himachal Pradesh 02","(1) urban 1","No education","Q4","(4) Dalit 4","(1) A great deal of confidence","(2) Only some confidence",545.59105431,0.089167268749796
"43","2725020511","(27) Maharashtra 27","(0) rural 0","Secondary","Q5 (Richest)","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",2307.39561667,0.377103259737124
"44","2327070901","(23) Madhya Pradesh 23","(1) urban 1","Middle","Q2","(1) Brahmin 1","(1) A great deal of confidence","(1) A great deal of confidence",5765.10772579,0.942205532689981
"45","0710330209","(07) Delhi 07","(1) urban 1","College+","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",4407.66666667,0.72035564938565
"46","2412091509","(24) Gujarat 24","(1) urban 1","College+","Q4","(2) Forward caste 2","(1) A great deal of confidence","(2) Only some confidence",6938.99873258,1.13405738593891
"47","2322030701","(23) Madhya Pradesh 23","(1) urban 1","College+","Q5 (Richest)","(1) Brahmin 1","(1) A great deal of confidence","(2) Only some confidence",5765.10772579,0.942205532689981
"48","1819010301","(18) Assam 18","(1) urban 1","Higher secondary","Q5 (Richest)","(2) Forward caste 2","(3) Hardly any confidence at all","(3) Hardly any confidence at all",3386.9209622,0.553532704183984
"49","2915021701","(29) Karnataka 29","(0) rural 0","Middle","Q4","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",1810.72580809,0.295931308782812
"50","1806030402","(18) Assam 18","(0) rural 0","Secondary","Q4","(2) Forward caste 2","(2) Only some confidence","(1) A great deal of confidence",13476.25408299,2.20245687693359
"51","0206031111","(02) Himachal Pradesh 02","(0) rural 0","Secondary","Q2","(4) Dalit 4","(1) A great deal of confidence","(2) Only some confidence",1194.62673118,0.195240742958173
"52","2201021611","(22) Chhattisgarh 22","(0) rural 0","Primary","Q2","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(2) Only some confidence",8970.9497987,1.46614407498534
"53","2101041011","(21) Orissa 21","(0) rural 0","Secondary","Q5 (Richest)","(6) Muslim 6","(3) Hardly any confidence at all","(1) A great deal of confidence",4106.10240963,0.671070271738054
"54","0812031501","(08) Rajasthan 08","(1) urban 1","College+","Q4","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",3810.71445498,0.62279430216403
"55","2337052001","(23) Madhya Pradesh 23","(0) rural 0","Primary","Q3","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",2828.16454569,0.462213788371425
"56","2124020112","(21) Orissa 21","(0) rural 0","Secondary","Q2","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",3930.77921365,0.642416776761321
"57","0807020811","(08) Rajasthan 08","(0) rural 0","College+","Q4","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",7430.1119828,1.214321215089
"58","3302081001","(33) Tamil Nadu 33","(1) urban 1","Middle","Q4","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",8239.85586393,1.34665962074438
"59","0947021101","(09) Uttar Pradesh 09","(0) rural 0","Middle","Q1 (Poorest)","(6) Muslim 6","(1) A great deal of confidence","(2) Only some confidence",11784.42246023,1.92595673310914
"60","0307020211","(03) Punjab 03","(0) rural 0","Higher secondary","Q4","(2) Forward caste 2","(2) Only some confidence","(1) A great deal of confidence",1900.00304148,0.310522103481585
"61","0824101401","(08) Rajasthan 08","(1) urban 1","Middle","Q4","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",3810.71445498,0.62279430216403
"62","3213010401","(32) Kerala 32","(1) urban 1","College+","Q5 (Richest)","(2) Forward caste 2","(2) Only some confidence","(2) Only some confidence",4436.06347306,0.724996608299859
"63","2118050212","(21) Orissa 21","(0) rural 0","Secondary","Q4","(2) Forward caste 2","(1) A great deal of confidence","(2) Only some confidence",3323.90656702,0.54323410880612
"64","2734020102","(27) Maharashtra 27","(1) urban 1","No education","Q5 (Richest)","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",9592.3,1.56769284479999
"65","0206041211","(02) Himachal Pradesh 02","(0) rural 0","College+","Q5 (Richest)","(1) Brahmin 1","(2) Only some confidence","(2) Only some confidence",1537.76410639,0.251320516099147
"66","0813081301","(08) Rajasthan 08","(0) rural 0","Secondary","Q3","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",4336.79733614,0.708773302879843
"67","2201021411","(22) Chhattisgarh 22","(0) rural 0","No education","Q3","(5) Adivasi 5","(1) A great deal of confidence","(2) Only some confidence",8970.9497987,1.46614407498534
"68","1035010101","(10) Bihar 10","(1) urban 1","Secondary","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(3) Hardly any confidence at all","(1) A great deal of confidence",4366.34554335,0.713602438021549
"69","1910011631","(19) West Bengal 19","(0) rural 0","Primary","Q4","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",11267.10576475,1.84141041137196
"70","0923041701","(09) Uttar Pradesh 09","(0) rural 0","Middle","Q4","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",4242.67427164,0.693390542254415
"71","1909201101","(19) West Bengal 19","(1) urban 1","Higher secondary","Q2","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",5775.85751979,0.943962397585457
"72","1027020311","(10) Bihar 10","(0) rural 0","Secondary","Q4","(6) Muslim 6","(2) Only some confidence","(2) Only some confidence",9690.61653956,1.58376095522123
"73","2313020811","(23) Madhya Pradesh 23","(0) rural 0","Middle","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(2) Only some confidence",4370.37328434,0.714260701496496
"74","0815071201","(08) Rajasthan 08","(0) rural 0","Secondary","Q2","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",5784.0501092,0.945301332335042
"75","0967011521","(09) Uttar Pradesh 09","(0) rural 0","Primary","Q2","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",9721.51,1.58880994835978
"76","2715020501","(27) Maharashtra 27","(1) urban 1","Higher secondary","Q3","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",9592.3,1.56769284479999
"77","0924041001","(09) Uttar Pradesh 09","(0) rural 0","Secondary","Q1 (Poorest)","(4) Dalit 4","(2) Only some confidence","(1) A great deal of confidence",13402.69174755,2.19043440610635
"78","2209022112","(22) Chhattisgarh 22","(0) rural 0","Middle","Q2","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",2971.33187787,0.485611972567883
"79","1305061601","(13) Nagaland 13","(0) rural 0","Higher secondary","Q2","(5) Adivasi 5","(1) A great deal of confidence","(1) A great deal of confidence",4691.78666667,0.766790069812927
"80","3402060601","(34) Pondicherry 34","(1) urban 1","Higher secondary","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",8239.85586393,1.34665962074438
"81","2919370911","(29) Karnataka 29","(0) rural 0","Secondary","Q5 (Richest)","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",1598.12434601,0.261185336399042
"82","2920231209","(29) Karnataka 29","(1) urban 1","College+","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(3) Hardly any confidence at all","(1) A great deal of confidence",4741.77914111,0.774960461113599
"83","0905070701","(09) Uttar Pradesh 09","(0) rural 0","No education","Q2","(2) Forward caste 2","(2) Only some confidence","(2) Only some confidence",1654.5189394,0.270402041521162
"84","2920210301","(29) Karnataka 29","(1) urban 1","Secondary","Q4","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",4741.77914111,0.774960461113599
"85","2309030911","(23) Madhya Pradesh 23","(0) rural 0","No education","Q2","(4) Dalit 4","(2) Only some confidence","(1) A great deal of confidence",4792.94067478,0.783321914598524
"86","2730071701","(27) Maharashtra 27","(0) rural 0","College+","Q4","(1) Brahmin 1","(3) Hardly any confidence at all","(1) A great deal of confidence",5260.51561096,0.859738820018204
"87","2714050311","(27) Maharashtra 27","(0) rural 0","Higher secondary","Q2","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",3597.29992893,0.587915448764432
"88","1817091201","(18) Assam 18","(1) urban 1","Higher secondary","Q3","(4) Dalit 4","(3) Hardly any confidence at all","(3) Hardly any confidence at all",3386.9209622,0.553532704183984
"89","2210041321","(22) Chhattisgarh 22","(0) rural 0","Secondary","Q2","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",2511.235314,0.41041727566557
"90","0810050701","(08) Rajasthan 08","(0) rural 0","No education","Q1 (Poorest)","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",3053.24676406,0.498999521014311
"91","0811040101","(08) Rajasthan 08","(0) rural 0","Secondary","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",13943.16041667,2.27876451102571
"92","0605020211","(06) Haryana 06","(0) rural 0","No education","Q3","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",2299.81680764,0.375864636603106
"93","2419110301","(24) Gujarat 24","(1) urban 1","College+","Q5 (Richest)","(1) Brahmin 1","(1) A great deal of confidence","(2) Only some confidence",6938.99873258,1.13405738593891
"94","0619050501","(06) Haryana 06","(0) rural 0","Primary","Q1 (Poorest)","(4) Dalit 4","(1) A great deal of confidence","(3) Hardly any confidence at all",1083.83238397,0.177133354181195
"95","1802090101","(18) Assam 18","(0) rural 0","No education","Q4","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",2471.0646118,0.403852080414219
"96","2407201302","(24) Gujarat 24","(1) urban 1","No education","Q1 (Poorest)","(6) Muslim 6","(3) Hardly any confidence at all","(3) Hardly any confidence at all",6938.99873258,1.13405738593891
"97","0112060201","(01) Jammu & Kashmir 01","(0) rural 0","Middle","Q3","(1) Brahmin 1","(3) Hardly any confidence at all","(1) A great deal of confidence",6684.81491285,1.09251550803115
"98","2419042311","(24) Gujarat 24","(0) rural 0","No education","Q2","(4) Dalit 4","(2) Only some confidence","(2) Only some confidence",2643.30427246,0.432001625737808
"99","2924040301","(29) Karnataka 29","(1) urban 1","Higher secondary","Q5 (Richest)","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",4741.77914111,0.774960461113599
"100","2711010421","(27) Maharashtra 27","(1) urban 1","College+","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(3) Hardly any confidence at all","(1) A great deal of confidence",9592.3,1.56769284479999
"101","2723241201","(27) Maharashtra 27","(1) urban 1","Secondary","Q4","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",9592.3,1.56769284479999
"102","0807050611","(08) Rajasthan 08","(0) rural 0","Primary","Q2","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(2) Only some confidence",5956.90017285,0.973550637299162
"103","0965100901","(09) Uttar Pradesh 09","(1) urban 1","College+","Q5 (Richest)","(2) Forward caste 2","(2) Only some confidence","(1) A great deal of confidence",6466.85824346,1.05689432113341
"104","2924021701","(29) Karnataka 29","(0) rural 0","Secondary","Q3","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(2) Only some confidence",6329.61776542,1.03446477707826
"105","0211100601","(02) Himachal Pradesh 02","(1) urban 1","College+","Q4","(7) Christian, Sikh, Jain 7","(1) A great deal of confidence","(2) Only some confidence",545.59105431,0.089167268749796
"106","2912061501","(29) Karnataka 29","(0) rural 0","No education","Q3","(4) Dalit 4","(2) Only some confidence","(1) A great deal of confidence",1959.83870258,0.320301190642156
"107","1005060502","(10) Bihar 10","(0) rural 0","No education","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(3) Hardly any confidence at all","(1) A great deal of confidence",11330.15773226,1.85171514728681
"108","0105010201","(01) Jammu & Kashmir 01","(0) rural 0","College+","Q5 (Richest)","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",3853.41004712,0.629772146299678
"109","1817060301","(18) Assam 18","(0) rural 0","Higher secondary","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",2880.53611148,0.470773000339353
"110","3305010912","(33) Tamil Nadu 33","(0) rural 0","No education","Q1 (Poorest)","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",4509.59698276,0.737014368066518
"111","2926330611","(29) Karnataka 29","(0) rural 0","Higher secondary","Q4","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(2) Only some confidence",3175.43954396,0.518969783280446
"112","0936050209","(09) Uttar Pradesh 09","(1) urban 1","College+","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",6466.85824346,1.05689432113341
"113","0933040701","(09) Uttar Pradesh 09","(0) rural 0","Secondary","Q2","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",15014.5593742,2.45386584017993
"114","2403010321","(24) Gujarat 24","(0) rural 0","Higher secondary","Q5 (Richest)","(1) Brahmin 1","(1) A great deal of confidence","(2) Only some confidence",10148.10074627,1.65852870825943
"115","2410100109","(24) Gujarat 24","(1) urban 1","Secondary","Q5 (Richest)","(1) Brahmin 1","(1) A great deal of confidence","(1) A great deal of confidence",6938.99873258,1.13405738593891
"116","0608071121","(06) Haryana 06","(0) rural 0","Primary","Q4","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",1286.86554622,0.210315556126135
"117","2703020111","(27) Maharashtra 27","(0) rural 0","Secondary","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(2) Only some confidence",3101.34860847,0.506860922065491
"118","0612020511","(06) Haryana 06","(0) rural 0","College+","Q5 (Richest)","(1) Brahmin 1","(1) A great deal of confidence","(1) A great deal of confidence",1268.38383838,0.207295045806352
"119","0805040211","(08) Rajasthan 08","(0) rural 0","College+","Q3","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",3297.40832081,0.538903436185042
"120","2804062101","(28) Andhra Pradesh 28","(0) rural 0","College+","Q1 (Poorest)","(4) Dalit 4","(3) Hardly any confidence at all","(3) Hardly any confidence at all",11062.38726213,1.80795277016437
"121","2919041601","(29) Karnataka 29","(0) rural 0","Primary","Q3","(5) Adivasi 5","(2) Only some confidence","(1) A great deal of confidence",1416.22398634,0.231456919614621
"122","0959030601","(09) Uttar Pradesh 09","(0) rural 0","Primary","Q3","(5) Adivasi 5","(2) Only some confidence","(1) A great deal of confidence",8200.35195396,1.34020340096376
"123","2905371112","(29) Karnataka 29","(0) rural 0","Secondary","Q3","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",830.55080801,0.135738932160183
"124","2412061001","(24) Gujarat 24","(0) rural 0","Middle","Q2","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(2) Only some confidence",4585.34144833,0.749393469711305
"125","1917030601","(19) West Bengal 19","(1) urban 1","Secondary","Q5 (Richest)","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",5775.85751979,0.943962397585457
"126","2412090401","(24) Gujarat 24","(1) urban 1","College+","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",6938.99873258,1.13405738593891
"127","2730011311","(27) Maharashtra 27","(0) rural 0","College+","Q4","(4) Dalit 4","(2) Only some confidence","(1) A great deal of confidence",4629.25379544,0.75657017106163
"128","1917090701","(19) West Bengal 19","(1) urban 1","Secondary","Q4","(4) Dalit 4","(2) Only some confidence","(2) Only some confidence",5775.85751979,0.943962397585457
"129","2915040201","(29) Karnataka 29","(0) rural 0","Secondary","Q3","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(2) Only some confidence",1886.17271751,0.308261780104602
"130","1906081801","(19) West Bengal 19","(0) rural 0","Middle","Q3","(2) Forward caste 2","(2) Only some confidence","(2) Only some confidence",7464.56088448,1.2199512826093
"131","0202120701","(02) Himachal Pradesh 02","(1) urban 1","Middle","Q3","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",545.59105431,0.089167268749796
"132","2118011511","(21) Orissa 21","(0) rural 0","Middle","Q2","(4) Dalit 4","(1) A great deal of confidence","(2) Only some confidence",3911.67040409,0.639293777687079
"133","0930011902","(09) Uttar Pradesh 09","(0) rural 0","Higher secondary","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",11445.4529278,1.87055812061832
"134","0923021704","(09) Uttar Pradesh 09","(1) urban 1","No education","Q4","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(3) Hardly any confidence at all",6466.85824346,1.05689432113341
"135","2013010701","(20) Jharkhand 20","(0) rural 0","No education","Q2","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",15027.54326591,2.45598782908055
"136","0806090701","(08) Rajasthan 08","(1) urban 1","College+","Q1 (Poorest)","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",3810.71445498,0.62279430216403
"137","0204020513","(02) Himachal Pradesh 02","(0) rural 0","Secondary","Q1 (Poorest)","(4) Dalit 4","(2) Only some confidence","(1) A great deal of confidence",1073.5619231,0.175454827861262
"138","3309020901","(33) Tamil Nadu 33","(1) urban 1","College+","Q5 (Richest)","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",8239.85586393,1.34665962074438
"139","2713011221","(27) Maharashtra 27","(0) rural 0","Higher secondary","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(3) Hardly any confidence at all",7168.87728816,1.17162699560038
"140","2101010301","(21) Orissa 21","(0) rural 0","Secondary","Q4","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(2) Only some confidence",2202.36409091,0.359937702841241
"141","1601010601","(16) Tripura 16","(1) urban 1","Middle","Q3","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",5195.08695652,0.849045656396291
"142","2326030509","(23) Madhya Pradesh 23","(1) urban 1","College+","Q5 (Richest)","(4) Dalit 4","(3) Hardly any confidence at all","(2) Only some confidence",5765.10772579,0.942205532689981
"143","2805091001","(28) Andhra Pradesh 28","(1) urban 1","College+","Q3","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(2) Only some confidence",8110.15651136,1.32546254110767
"144","1014030811","(10) Bihar 10","(0) rural 0","No education","Q2","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",10251.09503859,1.67536131515509
"145","0211031211","(02) Himachal Pradesh 02","(0) rural 0","Middle","Q4","(2) Forward caste 2","(2) Only some confidence","(1) A great deal of confidence",751.46333333,0.122813474431678
"146","2715010701","(27) Maharashtra 27","(1) urban 1","College+","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(2) Only some confidence",9592.3,1.56769284479999
"147","3315100712","(33) Tamil Nadu 33","(0) rural 0","Middle","Q4","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",4284.47949774,0.700222871709521
"148","1809020501","(18) Assam 18","(0) rural 0","Secondary","Q4","(5) Adivasi 5","(1) A great deal of confidence","(2) Only some confidence",13041.89635158,2.13146873982205
"149","2903030901","(29) Karnataka 29","(1) urban 1","Middle","Q4","(4) Dalit 4","(1) A great deal of confidence","(2) Only some confidence",4741.77914111,0.774960461113599
"150","1014030111","(10) Bihar 10","(0) rural 0","Primary","Q3","(6) Muslim 6","(3) Hardly any confidence at all","(1) A great deal of confidence",10251.09503859,1.67536131515509
"151","0703010101","(07) Delhi 07","(1) urban 1","Middle","Q1 (Poorest)","(6) Muslim 6","(2) Only some confidence","(1) A great deal of confidence",4407.66666667,0.72035564938565
"152","0940030102","(09) Uttar Pradesh 09","(0) rural 0","Secondary","Q1 (Poorest)","(1) Brahmin 1","(2) Only some confidence","(2) Only some confidence",13776.2130719,2.25147990171884
"153","2308060802","(23) Madhya Pradesh 23","(0) rural 0","No education","Q2","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",2463.87419422,0.402676933036501
"154","2917061501","(29) Karnataka 29","(0) rural 0","Primary","Q2","(5) Adivasi 5","(2) Only some confidence","(1) A great deal of confidence",2550.3180495,0.416804661881447
